epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4950.31,1.10566,3.04516,1.67037,0.43267,0.45575,0.44928,0.33452,1.20838,2.59356,1.38525,0.000955072,0.000955072,0.000955072
43,5065.91,1.09958,3.0358,1.67018,0.43108,0.4591,0.4504,0.33549,1.2076,2.5836,1.38428,0.000952889,0.000952889,0.000952889
44,5181.59,1.09449,3.00202,1.66229,0.43251,0.4623,0.45278,0.33637,1.20576,2.57054,1.38075,0.000950658,0.000950658,0.000950658
45,5297.72,1.09304,2.99296,1.66126,0.43384,0.4651,0.45491,0.33881,1.20442,2.55705,1.37868,0.000948377,0.000948377,0.000948377
46,5414.58,1.09756,3.00645,1.66335,0.43299,0.46558,0.45593,0.33943,1.20293,2.54746,1.37582,0.000946048,0.000946048,0.000946048
47,5531.01,1.08816,2.9685,1.6557,0.43452,0.46781,0.45753,0.34071,1.20131,2.53768,1.37341,0.000943671,0.000943671,0.000943671
48,5646.81,1.09069,2.94311,1.65959,0.43857,0.47045,0.46036,0.34239,1.20022,2.52921,1.37156,0.000941245,0.000941245,0.000941245
49,5764.25,1.088,2.93603,1.65934,0.43892,0.47095,0.46104,0.34352,1.19876,2.51955,1.36941,0.000938772,0.000938772,0.000938772
50,5879.78,1.08976,2.9212,1.65597,0.44102,0.47386,0.46299,0.34486,1.1973,2.51083,1.36761,0.000936251,0.000936251,0.000936251
51,5996.06,1.0759,2.88634,1.64643,0.442,0.4756,0.46554,0.34639,1.19704,2.50365,1.36678,0.000933683,0.000933683,0.000933683
52,6112.13,1.07954,2.88982,1.64537,0.44363,0.47808,0.46758,0.34844,1.19639,2.49782,1.36579,0.000931067,0.000931067,0.000931067
53,6227.89,1.07655,2.87903,1.64602,0.44327,0.47939,0.46843,0.34891,1.19523,2.4907,1.36428,0.000928405,0.000928405,0.000928405
54,6343.68,1.07508,2.86122,1.64028,0.44398,0.48056,0.46963,0.34953,1.19429,2.48479,1.36304,0.000925697,0.000925697,0.000925697
55,6458.73,1.06613,2.82944,1.63511,0.44733,0.48151,0.47128,0.35146,1.19333,2.47914,1.36251,0.000922942,0.000922942,0.000922942
56,6574.99,1.068,2.81888,1.63989,0.44939,0.48249,0.47251,0.35195,1.19212,2.47399,1.3606,0.000920142,0.000920142,0.000920142
57,6690.35,1.07244,2.80767,1.63692,0.44911,0.48156,0.47312,0.35285,1.19088,2.46791,1.35893,0.000917296,0.000917296,0.000917296
58,6805.68,1.07293,2.79951,1.63402,0.44985,0.48079,0.47347,0.35374,1.19012,2.46239,1.35725,0.000914405,0.000914405,0.000914405
59,6919.77,1.06672,2.7914,1.63132,0.4496,0.48141,0.47433,0.35426,1.18905,2.45739,1.35545,0.000911469,0.000911469,0.000911469
60,7034.57,1.0628,2.77157,1.63154,0.45013,0.48293,0.4749,0.35542,1.18818,2.45228,1.35398,0.000908488,0.000908488,0.000908488
61,7148.61,1.0556,2.7453,1.62269,0.45255,0.48389,0.47654,0.35615,1.1873,2.44655,1.35244,0.000905463,0.000905463,0.000905463
62,7262.81,1.05501,2.7589,1.62424,0.45453,0.48489,0.47776,0.35728,1.18683,2.44183,1.35162,0.000902395,0.000902395,0.000902395
63,7377.91,1.06206,2.7534,1.62998,0.4547,0.48566,0.47892,0.35901,1.18611,2.43674,1.34954,0.000899282,0.000899282,0.000899282
64,7492.39,1.05604,2.74006,1.62439,0.45656,0.48599,0.4806,0.3601,1.18547,2.43064,1.34883,0.000896127,0.000896127,0.000896127
65,7607.74,1.06068,2.72972,1.6272,0.45825,0.48851,0.48298,0.36188,1.18424,2.42289,1.34737,0.000892928,0.000892928,0.000892928
66,7724.98,1.05263,2.70267,1.62132,0.46006,0.48905,0.48389,0.36268,1.18384,2.41639,1.34658,0.000889687,0.000889687,0.000889687
67,7841.45,1.05554,2.71972,1.61851,0.46196,0.49054,0.48524,0.36317,1.1833,2.41097,1.34571,0.000886404,0.000886404,0.000886404
68,7956.85,1.05038,2.68123,1.61533,0.46336,0.49123,0.48619,0.36395,1.18235,2.40611,1.34428,0.000883079,0.000883079,0.000883079
69,8073.22,1.04286,2.66787,1.60912,0.4643,0.49129,0.487,0.36457,1.18111,2.39973,1.34228,0.000879713,0.000879713,0.000879713
70,8189.62,1.05051,2.66701,1.61597,0.46735,0.49219,0.48976,0.36649,1.18025,2.39431,1.34111,0.000876305,0.000876305,0.000876305
71,8305.39,1.04485,2.6432,1.60863,0.46837,0.49172,0.48981,0.36716,1.1799,2.38847,1.34058,0.000872857,0.000872857,0.000872857
72,8422.38,1.04789,2.6481,1.61542,0.47754,0.49185,0.49449,0.37059,1.17905,2.38323,1.3396,0.000869368,0.000869368,0.000869368
73,8539.58,1.04299,2.64272,1.61307,0.47884,0.49178,0.49514,0.37139,1.1785,2.37833,1.33865,0.000865839,0.000865839,0.000865839
74,8656.36,1.03963,2.63891,1.6079,0.4774,0.49166,0.49532,0.37176,1.17782,2.37355,1.33758,0.000862271,0.000862271,0.000862271
75,8772.57,1.04119,2.61951,1.60616,0.48022,0.49076,0.49647,0.37299,1.17663,2.36678,1.33614,0.000858664,0.000858664,0.000858664
76,8889.55,1.0424,2.62174,1.60779,0.4816,0.49201,0.49745,0.37348,1.17558,2.36186,1.3351,0.000855018,0.000855018,0.000855018
77,9005.87,1.03739,2.60531,1.60162,0.4837,0.49101,0.49898,0.37515,1.17496,2.35617,1.33403,0.000851333,0.000851333,0.000851333
78,9123.39,1.03912,2.59208,1.60372,0.49972,0.49253,0.5072,0.38044,1.174,2.35229,1.33262,0.000847611,0.000847611,0.000847611
79,9238.82,1.03354,2.57325,1.59952,0.49927,0.49162,0.50699,0.38033,1.1727,2.34623,1.33129,0.000843851,0.000843851,0.000843851
80,9356.23,1.02952,2.56307,1.59613,0.48718,0.49181,0.50084,0.37633,1.17177,2.34163,1.33015,0.000840054,0.000840054,0.000840054
81,9473.69,1.03486,2.5728,1.59815,0.48798,0.49199,0.5013,0.37666,1.1707,2.33697,1.32939,0.00083622,0.00083622,0.00083622
82,9590.93,1.02962,2.55502,1.59433,0.48695,0.49209,0.50069,0.37683,1.1697,2.33285,1.32792,0.000832349,0.000832349,0.000832349
83,9707.3,1.03002,2.55433,1.59255,0.48886,0.49346,0.50242,0.37802,1.16879,2.32761,1.32693,0.000828443,0.000828443,0.000828443
84,9824.23,1.0246,2.54538,1.59069,0.4913,0.49488,0.50436,0.37937,1.1682,2.32256,1.3264,0.000824502,0.000824502,0.000824502
85,9940,1.02978,2.53312,1.59965,0.492,0.49627,0.50545,0.37984,1.1669,2.31809,1.32497,0.000820525,0.000820525,0.000820525
86,10057.2,1.02348,2.52764,1.58937,0.49602,0.49792,0.50773,0.38197,1.16626,2.31276,1.32389,0.000816514,0.000816514,0.000816514
87,10173.3,1.02202,2.51735,1.58583,0.5072,0.49878,0.5142,0.38634,1.16547,2.30709,1.32301,0.000812468,0.000812468,0.000812468
88,10291.3,1.01965,2.52343,1.58844,0.50827,0.49938,0.51513,0.38695,1.16462,2.3022,1.32203,0.000808389,0.000808389,0.000808389
89,10407.7,1.02175,2.50821,1.58764,0.51013,0.50053,0.51646,0.3884,1.16409,2.29709,1.32149,0.000804277,0.000804277,0.000804277
90,10524.3,1.01849,2.49122,1.58392,0.51207,0.50176,0.5182,0.39018,1.16328,2.29293,1.32045,0.000800131,0.000800131,0.000800131
91,10640.1,1.0115,2.47568,1.57811,0.51316,0.50266,0.51948,0.39111,1.16266,2.28678,1.31958,0.000795954,0.000795954,0.000795954
92,10756.3,1.01517,2.47492,1.58238,0.51385,0.5035,0.52068,0.39166,1.16205,2.27963,1.31887,0.000791744,0.000791744,0.000791744
