epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,27290.2,0.80611,1.27315,1.23439,0.5997,0.6186,0.61653,0.52336,0.60341,1.07359,1.14273,0.005842,0.005842,0.005842
44,27861.7,0.80395,1.27438,1.23102,0.6022,0.61901,0.61872,0.5261,0.60057,1.06984,1.13969,0.005743,0.005743,0.005743
45,28430.4,0.80285,1.26004,1.23085,0.60594,0.61583,0.61956,0.5274,0.59852,1.06659,1.13768,0.005644,0.005644,0.005644
46,29000.8,0.79629,1.24272,1.22555,0.6117,0.61409,0.62077,0.52892,0.59793,1.06424,1.1372,0.005545,0.005545,0.005545
47,29569,0.79285,1.23806,1.22595,0.60627,0.62243,0.62287,0.53121,0.59691,1.0628,1.13616,0.005446,0.005446,0.005446
48,30138.5,0.79317,1.22136,1.2225,0.60147,0.63073,0.62471,0.53278,0.59599,1.06024,1.1352,0.005347,0.005347,0.005347
49,30706,0.78712,1.21736,1.2205,0.59873,0.63201,0.62522,0.53397,0.59363,1.0586,1.13318,0.005248,0.005248,0.005248
50,31282.9,0.78177,1.20561,1.21853,0.60214,0.63352,0.62608,0.53483,0.59284,1.0559,1.13219,0.005149,0.005149,0.005149
51,31850.9,0.78441,1.20255,1.2176,0.60433,0.63269,0.62737,0.53607,0.59245,1.05444,1.1324,0.00505,0.00505,0.00505
52,32419.5,0.78699,1.19652,1.21975,0.6062,0.63102,0.62766,0.53704,0.59157,1.05139,1.1317,0.004951,0.004951,0.004951
53,32988.1,0.78205,1.17695,1.21566,0.60054,0.63803,0.6287,0.53802,0.59044,1.0493,1.13089,0.004852,0.004852,0.004852
54,33558.1,0.77916,1.17436,1.21299,0.60301,0.63499,0.62991,0.53911,0.58909,1.04734,1.12943,0.004753,0.004753,0.004753
55,34128.6,0.77646,1.16972,1.21234,0.6053,0.63424,0.6309,0.54012,0.58687,1.04602,1.12699,0.004654,0.004654,0.004654
56,34699.9,0.77148,1.16206,1.21179,0.60593,0.63747,0.6326,0.54172,0.58591,1.04471,1.12616,0.004555,0.004555,0.004555
57,35273.1,0.7691,1.13979,1.20655,0.60576,0.64367,0.63268,0.54156,0.58665,1.04272,1.12699,0.004456,0.004456,0.004456
58,35842.9,0.76884,1.13438,1.20838,0.60495,0.64867,0.63366,0.5426,0.58592,1.04136,1.12651,0.004357,0.004357,0.004357
59,36410.9,0.76648,1.12796,1.20604,0.60385,0.65,0.63442,0.54347,0.58505,1.03905,1.1257,0.004258,0.004258,0.004258
60,36980.2,0.75864,1.11917,1.20214,0.60368,0.65418,0.63509,0.54367,0.58454,1.0366,1.12529,0.004159,0.004159,0.004159
61,37549.6,0.76485,1.11914,1.20301,0.60449,0.64738,0.63567,0.54459,0.58381,1.03503,1.12452,0.00406,0.00406,0.00406
62,38121,0.76097,1.10712,1.20425,0.60602,0.64446,0.63648,0.54543,0.58297,1.0335,1.12343,0.003961,0.003961,0.003961
63,38693.1,0.75776,1.09713,1.20086,0.6062,0.64457,0.63641,0.54582,0.58206,1.03177,1.12249,0.003862,0.003862,0.003862
64,39263.5,0.7534,1.09697,1.1972,0.60718,0.65697,0.63722,0.54686,0.58141,1.03066,1.12181,0.003763,0.003763,0.003763
65,39834.7,0.75141,1.08509,1.19759,0.60645,0.65434,0.63744,0.5474,0.58108,1.02901,1.12139,0.003664,0.003664,0.003664
66,40404.8,0.74985,1.07312,1.19329,0.60945,0.6524,0.63821,0.54817,0.58034,1.02732,1.12101,0.003565,0.003565,0.003565
67,40975.1,0.7438,1.0675,1.1919,0.61052,0.6456,0.63927,0.54929,0.57981,1.02564,1.12068,0.003466,0.003466,0.003466
68,41545.1,0.7432,1.06172,1.19317,0.61213,0.64221,0.64015,0.55025,0.57915,1.02398,1.11999,0.003367,0.003367,0.003367
69,42119,0.74105,1.0425,1.1887,0.60859,0.64732,0.64097,0.55146,0.57859,1.02262,1.11938,0.003268,0.003268,0.003268
70,42690.6,0.73582,1.03489,1.18296,0.60677,0.65048,0.64138,0.55167,0.57782,1.02095,1.11866,0.003169,0.003169,0.003169
71,43262,0.73352,1.03412,1.18467,0.61202,0.64789,0.64176,0.5519,0.57736,1.01922,1.11808,0.00307,0.00307,0.00307
72,43834.8,0.73116,1.01794,1.18226,0.6185,0.65309,0.64283,0.55302,0.57712,1.01734,1.1178,0.002971,0.002971,0.002971
73,44405.5,0.72968,1.01237,1.18065,0.61896,0.65295,0.643,0.5532,0.57653,1.01591,1.11698,0.002872,0.002872,0.002872
74,44978,0.72933,1.00317,1.1807,0.61935,0.65257,0.64381,0.55414,0.57586,1.01467,1.11633,0.002773,0.002773,0.002773
75,45549,0.72599,0.99818,1.18071,0.62421,0.65225,0.64382,0.55401,0.57523,1.01274,1.11548,0.002674,0.002674,0.002674
76,46121.7,0.72393,0.98584,1.17638,0.62575,0.65362,0.64483,0.55543,0.57473,1.0114,1.11566,0.002575,0.002575,0.002575
77,46690.7,0.72034,0.98457,1.17454,0.62584,0.65343,0.64475,0.55553,0.57437,1.00984,1.11536,0.002476,0.002476,0.002476
78,47263.3,0.72172,0.98214,1.17384,0.62543,0.65522,0.64582,0.55681,0.57359,1.00781,1.11468,0.002377,0.002377,0.002377
79,47833.3,0.71508,0.97109,1.17398,0.62735,0.65388,0.64597,0.55696,0.57292,1.00589,1.11387,0.002278,0.002278,0.002278
80,48403.1,0.71183,0.9544,1.16815,0.63134,0.65176,0.64691,0.55786,0.57242,1.00389,1.11324,0.002179,0.002179,0.002179
81,48972.4,0.7136,0.9517,1.17091,0.63238,0.65249,0.648,0.55897,0.57194,1.00299,1.11271,0.00208,0.00208,0.00208
82,49544.5,0.7091,0.93141,1.16614,0.63063,0.65336,0.64867,0.55983,0.57225,1.00155,1.11305,0.001981,0.001981,0.001981
83,50114.4,0.70788,0.93697,1.1675,0.63266,0.65306,0.64918,0.56033,0.57106,1.00065,1.11156,0.001882,0.001882,0.001882
84,50686.5,0.70444,0.93459,1.16134,0.63206,0.65503,0.65082,0.56166,0.57057,0.99942,1.11107,0.001783,0.001783,0.001783
85,51256.4,0.70073,0.91469,1.16075,0.63237,0.65562,0.65162,0.56262,0.57009,0.9986,1.11038,0.001684,0.001684,0.001684
86,51827.2,0.69758,0.9149,1.16213,0.63328,0.65979,0.65209,0.56301,0.56979,0.99766,1.10974,0.001585,0.001585,0.001585
87,52396.7,0.69647,0.90293,1.15877,0.63122,0.66288,0.65245,0.56368,0.56921,0.99661,1.10892,0.001486,0.001486,0.001486
88,52969.7,0.69463,0.89088,1.15778,0.62865,0.66405,0.65317,0.56442,0.56843,0.99563,1.10791,0.001387,0.001387,0.001387
89,53539.5,0.68734,0.87781,1.15457,0.62507,0.66784,0.654,0.56518,0.56794,0.99484,1.10728,0.001288,0.001288,0.001288
90,54113.1,0.68746,0.88113,1.15487,0.62747,0.66694,0.65456,0.56594,0.56735,0.99387,1.10654,0.001189,0.001189,0.001189
91,54655,0.54665,0.54589,1.07916,0.62717,0.66922,0.65569,0.56722,0.56636,0.99263,1.10541,0.00109,0.00109,0.00109
92,55196.1,0.5395,0.5159,1.07439,0.62756,0.6695,0.65648,0.56808,0.56529,0.9922,1.10392,0.000991,0.000991,0.000991
93,55739.4,0.53412,0.49982,1.06889,0.63161,0.66552,0.65671,0.56826,0.56467,0.99185,1.10303,0.000892,0.000892,0.000892
94,56283.6,0.5278,0.49267,1.06641,0.63505,0.66637,0.65677,0.56853,0.56412,0.99077,1.10251,0.000793,0.000793,0.000793
95,56828.8,0.52132,0.47713,1.05774,0.63449,0.66705,0.6575,0.5694,0.56361,0.98985,1.10229,0.000694,0.000694,0.000694
96,57385.3,0.51651,0.4674,1.05601,0.6314,0.67332,0.65786,0.56995,0.56304,0.98936,1.10178,0.000595,0.000595,0.000595
97,57991.1,0.51439,0.46359,1.05562,0.63445,0.67065,0.65803,0.57001,0.56292,0.98903,1.10186,0.000496,0.000496,0.000496
98,58565.2,0.50988,0.45486,1.04942,0.63795,0.66774,0.66069,0.5727,0.56231,0.98852,1.10117,0.000397,0.000397,0.000397
99,59151,0.50536,0.44895,1.04854,0.63499,0.67049,0.6603,0.57254,0.56161,0.98808,1.10072,0.000298,0.000298,0.000298
100,59795.5,0.50124,0.43887,1.04524,0.63617,0.66918,0.66022,0.57264,0.56118,0.98697,1.10022,0.000199,0.000199,0.000199
